scientific_name,common_name,url,categories,category_count,edibility_rating,medicinal_rating,source
Acer glabrum,Rock Maple,https://pfaf.org/user/Plant.aspx?LatinName=Acer+glabrum,Condiment; Inner bark; Leaves; Seed; Shoots,5,2,1,PFAF
Acer interius,Box Elder,https://pfaf.org/user/Plant.aspx?LatinName=Acer+interius,Sap; Sweetener,2,2,0,PFAF
Acer macrophyllum,"Oregon Maple, Bigleaf maple, Oregon Maple",https://pfaf.org/user/Plant.aspx?LatinName=Acer+macrophyllum,Flowers; Inner bark; Leaves; Sap; Seed; Shoots; Sweetener,7,3,1,PFAF
Acer mono,Maple,https://pfaf.org/user/Plant.aspx?LatinName=Acer+mono,Leaves; Sap,2,2,1,PFAF
Acer negundo,Box Elder,https://pfaf.org/user/Plant.aspx?LatinName=Acer+negundo,Inner bark; Leaves; Sap; Seed; Sweetener,5,3,1,PFAF
Acer palmatum,Japanese Maple,https://pfaf.org/user/Plant.aspx?LatinName=Acer+palmatum,Leaves; Sap,2,2,0,PFAF
Acer platanoides,"Norway Maple, Harlequin Maple",https://pfaf.org/user/Plant.aspx?LatinName=Acer+platanoides,Sap; Sweetener,2,2,0,PFAF
Acer pseudoplatanus,"Sycamore, Great Maple, Scottish Maple, Planetree Maple",https://pfaf.org/user/Plant.aspx?LatinName=Acer+pseudoplatanus,Leaves; Sap; Seedpod; Sweetener,4,2,1,PFAF
Acer rubrum,"Red Maple, Drummond's maple, Swamp Maple",https://pfaf.org/user/Plant.aspx?LatinName=Acer+rubrum,Inner bark; Leaves; Sap; Seed; Sweetener,5,3,1,PFAF
Acer saccharinum,"Silver Maple, River Maple, Soft Maple",https://pfaf.org/user/Plant.aspx?LatinName=Acer+saccharinum,Inner bark; Leaves; Sap; Seed; Sweetener,5,3,1,PFAF
Acer saccharum,"Sugar Maple, Florida Maple, Hard Maple, Rock Maple",https://pfaf.org/user/Plant.aspx?LatinName=Acer+saccharum,Inner bark; Leaves; Sap; Seed; Sweetener,5,4,2,PFAF
Acer saccharum grandidentatum,"Big-Tooth Maple, Canyon Maple, Rocky Mountain Sugar Maple",https://pfaf.org/user/Plant.aspx?LatinName=Acer+saccharum+grandidentatum,Inner bark; Sap; Seed; Sweetener,4,4,0,PFAF
Acer saccharum nigrum,Black Maple,https://pfaf.org/user/Plant.aspx?LatinName=Acer+saccharum+nigrum,Inner bark; Sap; Seed; Sweetener,4,4,1,PFAF
Acer spicatum,Mountain Maple,https://pfaf.org/user/Plant.aspx?LatinName=Acer+spicatum,Sap; Sweetener,2,2,2,PFAF
Acer tataricum,Tatarian Maple,https://pfaf.org/user/Plant.aspx?LatinName=Acer+tataricum,Sap; Seed; Sweetener,3,2,0,PFAF
Acer truncatum,"Shantung Maple, Purpleblow Maple",https://pfaf.org/user/Plant.aspx?LatinName=Acer+truncatum,Seed,1,1,0,PFAF
Acer ukurunduense caudatum,,https://pfaf.org/user/Plant.aspx?LatinName=Acer+ukurunduense+caudatum,Tea,1,1,0,PFAF
Achillea ageratum,"Mace, Sweet-nancy",https://pfaf.org/user/Plant.aspx?LatinName=Achillea+ageratum,Condiment; Leaves; Tea,3,2,0,PFAF
Achillea millefolium,"Yarrow, Boreal yarrow, California yarrow, Giant yarrow, Coast yarrow, Western yarrow, Pacific yarrow",https://pfaf.org/user/Plant.aspx?LatinName=Achillea+millefolium,Condiment; Leaves; Tea,3,3,4,PFAF
Achillea ptarmica,"Sneeze-Wort, Sneezeweed",https://pfaf.org/user/Plant.aspx?LatinName=Achillea+ptarmica,Leaves,1,2,1,PFAF
Achillea sibirica,Siberian Yarrow,https://pfaf.org/user/Plant.aspx?LatinName=Achillea+sibirica,Leaves; Shoots,2,1,1,PFAF
Achnatherum hymenoides,"Indian Millet, Indian ricegrass",https://pfaf.org/user/Plant.aspx?LatinName=Achnatherum+hymenoides,Seed,1,4,0,PFAF
Achyranthes aspera,Devil's Horsewhip,https://pfaf.org/user/Plant.aspx?LatinName=Achyranthes+aspera,Leaves; Seed,2,2,3,PFAF
Achyranthes bidentata,Niu Xi,https://pfaf.org/user/Plant.aspx?LatinName=Achyranthes+bidentata,Leaves; Seed,2,2,3,PFAF
Achyranthes faureri,,https://pfaf.org/user/Plant.aspx?LatinName=Achyranthes+faureri,Leaves,1,1,1,PFAF
Acinos alpinus,Alpine Calamint,https://pfaf.org/user/Plant.aspx?LatinName=Acinos+alpinus,Condiment; Tea,2,1,1,PFAF
Acinos arvensis,Basil Thyme,https://pfaf.org/user/Plant.aspx?LatinName=Acinos+arvensis,Condiment; Leaves,2,2,1,PFAF
Acinos rotundifolius,,https://pfaf.org/user/Plant.aspx?LatinName=Acinos+rotundifolius,Condiment,1,1,1,PFAF
Aciphylla colensoi,Wild Spaniard,https://pfaf.org/user/Plant.aspx?LatinName=Aciphylla+colensoi,Gum; Leaves; Root; Shoots,4,2,0,PFAF
Aciphylla squarrosa,Speargrass,https://pfaf.org/user/Plant.aspx?LatinName=Aciphylla+squarrosa,Gum; Leaves; Root; Shoots,4,2,0,PFAF
Acmella oleracea,"Toothache plant, Paracress",https://pfaf.org/user/Plant.aspx?LatinName=Acmella+oleracea,Oil,1,3,3,PFAF
Aconitum heterophyllum,,https://pfaf.org/user/Plant.aspx?LatinName=Aconitum+heterophyllum,Leaves; Root,2,1,2,PFAF
Aconitum koreanum,Korean Monk's Hood,https://pfaf.org/user/Plant.aspx?LatinName=Aconitum+koreanum,Leaves,1,1,0,PFAF
Aconitum mokchangense,,https://pfaf.org/user/Plant.aspx?LatinName=Aconitum+mokchangense,Leaves,1,1,0,PFAF
Aconitum multifidum,,https://pfaf.org/user/Plant.aspx?LatinName=Aconitum+multifidum,Leaves,1,1,0,PFAF
Aconitum rotundifolium,,https://pfaf.org/user/Plant.aspx?LatinName=Aconitum+rotundifolium,Leaves,1,1,0,PFAF
Aconitum septentrionale,,https://pfaf.org/user/Plant.aspx?LatinName=Aconitum+septentrionale,Leaves; Root,2,1,0,PFAF
Aconitum violaceum,,https://pfaf.org/user/Plant.aspx?LatinName=Aconitum+violaceum,Root,1,1,1,PFAF
Aconitum volubile,,https://pfaf.org/user/Plant.aspx?LatinName=Aconitum+volubile,Leaves,1,1,1,PFAF
Acorus calamus,Sweet Flag - Calamus,https://pfaf.org/user/Plant.aspx?LatinName=Acorus+calamus,Condiment; Leaves; Root; Stem,4,3,4,PFAF
Acorus gramineus,"Grass-leaved Sweet Rush, Japanese Sweet Flag, Dwarf Sweet Flag",https://pfaf.org/user/Plant.aspx?LatinName=Acorus+gramineus,Condiment; Root,2,3,3,PFAF
Acrocarpus fraxinifolius,"Pink Cedar, Shingle Tree",https://pfaf.org/user/Plant.aspx?LatinName=Acrocarpus+fraxinifolius,Gum,1,0,0,PFAF
Acrocomia aculeata,"Coyoli Palm. Gru-Gru Palm, Macaw palm",https://pfaf.org/user/Plant.aspx?LatinName=Acrocomia+aculeata,Apical bud; Inner bark; Oil,3,3,1,PFAF
Actinidia arguta,Tara Vine,https://pfaf.org/user/Plant.aspx?LatinName=Actinidia+arguta,Fruit; Sap,2,5,0,PFAF
Actinidia arguta cordifolia,,https://pfaf.org/user/Plant.aspx?LatinName=Actinidia+arguta+cordifolia,Fruit,1,4,0,PFAF
Actinidia arguta rufa,,https://pfaf.org/user/Plant.aspx?LatinName=Actinidia+arguta+rufa,Fruit,1,4,0,PFAF
Actinidia arisanensis,,https://pfaf.org/user/Plant.aspx?LatinName=Actinidia+arisanensis,Fruit,1,3,0,PFAF
Actinidia asymmetrica,,https://pfaf.org/user/Plant.aspx?LatinName=Actinidia+asymmetrica,Fruit,1,3,0,PFAF
Actinidia callosa,,https://pfaf.org/user/Plant.aspx?LatinName=Actinidia+callosa,Fruit,1,3,0,PFAF
Actinidia callosa formosana,,https://pfaf.org/user/Plant.aspx?LatinName=Actinidia+callosa+formosana,Fruit,1,3,0,PFAF
Actinidia callosa henryi,,https://pfaf.org/user/Plant.aspx?LatinName=Actinidia+callosa+henryi,Fruit,1,3,0,PFAF
Actinidia callosa indochinensis,,https://pfaf.org/user/Plant.aspx?LatinName=Actinidia+callosa+indochinensis,Fruit,1,3,0,PFAF
Actinidia callosa pubescens,,https://pfaf.org/user/Plant.aspx?LatinName=Actinidia+callosa+pubescens,Fruit,1,3,0,PFAF
Actinidia chinensis,Kiwi,https://pfaf.org/user/Plant.aspx?LatinName=Actinidia+chinensis,Fruit; Leaves,2,4,2,PFAF
Actinidia coriacea,,https://pfaf.org/user/Plant.aspx?LatinName=Actinidia+coriacea,Fruit,1,3,0,PFAF
Actinidia deliciosa,Kiwi Fruit,https://pfaf.org/user/Plant.aspx?LatinName=Actinidia+deliciosa,Fruit; Leaves,2,5,1,PFAF
Actinidia eriantha,,https://pfaf.org/user/Plant.aspx?LatinName=Actinidia+eriantha,Fruit,1,3,0,PFAF
Actinidia fortunatii,,https://pfaf.org/user/Plant.aspx?LatinName=Actinidia+fortunatii,Fruit,1,3,0,PFAF
Actinidia fulvicoma,,https://pfaf.org/user/Plant.aspx?LatinName=Actinidia+fulvicoma,Fruit,1,3,0,PFAF
Actinidia giraldii,,https://pfaf.org/user/Plant.aspx?LatinName=Actinidia+giraldii,Fruit,1,3,0,PFAF
Actinidia glabra,,https://pfaf.org/user/Plant.aspx?LatinName=Actinidia+glabra,Fruit,1,3,0,PFAF
Actinidia hemsleyana,,https://pfaf.org/user/Plant.aspx?LatinName=Actinidia+hemsleyana,Fruit,1,3,0,PFAF
Actinidia henryi,,https://pfaf.org/user/Plant.aspx?LatinName=Actinidia+henryi,Fruit,1,3,0,PFAF
Actinidia holotricha,,https://pfaf.org/user/Plant.aspx?LatinName=Actinidia+holotricha,Fruit,1,3,0,PFAF
Actinidia hypoleuca,,https://pfaf.org/user/Plant.aspx?LatinName=Actinidia+hypoleuca,Fruit,1,3,0,PFAF
Actinidia kiusiana,,https://pfaf.org/user/Plant.aspx?LatinName=Actinidia+kiusiana,Fruit,1,3,0,PFAF
Actinidia kolomikta,Kiwi,https://pfaf.org/user/Plant.aspx?LatinName=Actinidia+kolomikta,Fruit; Leaves,2,4,0,PFAF
Actinidia kolomikta gagnepainii,,https://pfaf.org/user/Plant.aspx?LatinName=Actinidia+kolomikta+gagnepainii,Fruit,1,3,0,PFAF
Actinidia kwangsiensis,,https://pfaf.org/user/Plant.aspx?LatinName=Actinidia+kwangsiensis,Fruit,1,3,0,PFAF
Actinidia lanceolata,,https://pfaf.org/user/Plant.aspx?LatinName=Actinidia+lanceolata,Fruit,1,3,0,PFAF
Actinidia latifolia,,https://pfaf.org/user/Plant.aspx?LatinName=Actinidia+latifolia,Fruit,1,3,0,PFAF
Actinidia longicauda,,https://pfaf.org/user/Plant.aspx?LatinName=Actinidia+longicauda,Fruit,1,3,0,PFAF
Actinidia maloides,,https://pfaf.org/user/Plant.aspx?LatinName=Actinidia+maloides,Fruit,1,3,0,PFAF
Actinidia melanandra,Red Kiwi,https://pfaf.org/user/Plant.aspx?LatinName=Actinidia+melanandra,Fruit,1,4,0,PFAF
Actinidia melliana,,https://pfaf.org/user/Plant.aspx?LatinName=Actinidia+melliana,Fruit,1,3,0,PFAF
Actinidia petelotii,,https://pfaf.org/user/Plant.aspx?LatinName=Actinidia+petelotii,Fruit,1,3,0,PFAF
Actinidia pilosula,,https://pfaf.org/user/Plant.aspx?LatinName=Actinidia+pilosula,Fruit,1,3,0,PFAF
Actinidia polygama,Silver Vine,https://pfaf.org/user/Plant.aspx?LatinName=Actinidia+polygama,Fruit; Leaves; Tea,3,4,2,PFAF
Actinidia polygama lecomtei,,https://pfaf.org/user/Plant.aspx?LatinName=Actinidia+polygama+lecomtei,Fruit,1,3,0,PFAF
Actinidia purpurea,Purple hardy kiwi,https://pfaf.org/user/Plant.aspx?LatinName=Actinidia+purpurea,Fruit,1,4,0,PFAF
Actinidia rubricaulis,,https://pfaf.org/user/Plant.aspx?LatinName=Actinidia+rubricaulis,Fruit,1,3,0,PFAF
Actinidia rubus,,https://pfaf.org/user/Plant.aspx?LatinName=Actinidia+rubus,Fruit,1,3,0,PFAF
Actinidia rudis,,https://pfaf.org/user/Plant.aspx?LatinName=Actinidia+rudis,Fruit,1,3,0,PFAF
Actinidia sabiifolia,,https://pfaf.org/user/Plant.aspx?LatinName=Actinidia+sabiifolia,Fruit,1,3,0,PFAF
Actinidia strigosa,,https://pfaf.org/user/Plant.aspx?LatinName=Actinidia+strigosa,Fruit,1,3,0,PFAF
Actinidia tetramera,,https://pfaf.org/user/Plant.aspx?LatinName=Actinidia+tetramera,Fruit,1,3,0,PFAF
Actinidia trichogyna,,https://pfaf.org/user/Plant.aspx?LatinName=Actinidia+trichogyna,Fruit,1,3,0,PFAF
Actinidia valvata,,https://pfaf.org/user/Plant.aspx?LatinName=Actinidia+valvata,Fruit,1,3,0,PFAF
Actinidia venosa,,https://pfaf.org/user/Plant.aspx?LatinName=Actinidia+venosa,Fruit,1,3,0,PFAF
Actinidia x fairchildii,,https://pfaf.org/user/Plant.aspx?LatinName=Actinidia+x+fairchildii,Fruit,1,4,0,PFAF
Adansonia digitata,"Baobab, Judas Fruit, Monkey Bread Tree",https://pfaf.org/user/Plant.aspx?LatinName=Adansonia+digitata,Flowers; Inner bark; Oil; Shoots,4,3,3,PFAF
Adenanthera pavonina,"Red Sandalwood, Coral Tree",https://pfaf.org/user/Plant.aspx?LatinName=Adenanthera+pavonina,Flowers,1,3,2,PFAF
Adenophora denticulata,,https://pfaf.org/user/Plant.aspx?LatinName=Adenophora+denticulata,Root,1,2,0,PFAF
Adenophora divaricata,,https://pfaf.org/user/Plant.aspx?LatinName=Adenophora+divaricata,Leaves,1,2,0,PFAF
Adenophora lamarkii,,https://pfaf.org/user/Plant.aspx?LatinName=Adenophora+lamarkii,Root,1,2,0,PFAF
Adenophora latifolia,,https://pfaf.org/user/Plant.aspx?LatinName=Adenophora+latifolia,Leaves; Root,2,2,0,PFAF
Adenophora liliifolia,"Ladybells, Lilyleaf",https://pfaf.org/user/Plant.aspx?LatinName=Adenophora+liliifolia,Root,1,2,0,PFAF
Adenophora nikoensis,,https://pfaf.org/user/Plant.aspx?LatinName=Adenophora+nikoensis,Leaves; Root; Shoots,3,2,0,PFAF
Adenophora remotiflora,,https://pfaf.org/user/Plant.aspx?LatinName=Adenophora+remotiflora,Leaves; Root,2,2,1,PFAF
Adenophora stricta,"Sha Shen, Ladybells",https://pfaf.org/user/Plant.aspx?LatinName=Adenophora+stricta,Leaves; Root,2,2,1,PFAF
Adenophora triphylla,Nan Sha Shen,https://pfaf.org/user/Plant.aspx?LatinName=Adenophora+triphylla,Leaves; Root,2,2,1,PFAF
Adenophora verticillata,,https://pfaf.org/user/Plant.aspx?LatinName=Adenophora+verticillata,Leaves; Root,2,2,2,PFAF
Adesmia lotoides,,https://pfaf.org/user/Plant.aspx?LatinName=Adesmia+lotoides,Root,1,1,0,PFAF
Adiantum capillus-veneris,"Maidenhair Fern, Common maidenhair, Southern Maidenhair Fern, Venus Maidenhair Fern, Venus's Hair Fe",https://pfaf.org/user/Plant.aspx?LatinName=Adiantum+capillus-veneris,Drink; Leaves; Tea,3,2,2,PFAF
Aegilops speltoides,Goatgrass,https://pfaf.org/user/Plant.aspx?LatinName=Aegilops+speltoides,Seed,1,1,0,PFAF
Aegilops triuncialis,"Barbed goatgrass, Barb goatgrass",https://pfaf.org/user/Plant.aspx?LatinName=Aegilops+triuncialis,Seed,1,1,0,PFAF
Aegle marmelos,"Bael Tree, Golden Apple, Bengal Quince",https://pfaf.org/user/Plant.aspx?LatinName=Aegle+marmelos,Flowers; Gum; Oil; Shoots; Stem,5,3,3,PFAF
Aegopodium alpestre,,https://pfaf.org/user/Plant.aspx?LatinName=Aegopodium+alpestre,Leaves; Shoots,2,1,0,PFAF
Aegopodium podagraria,"Ground Elder, Bishop's goutweed, Goutweed, Ground Elder, Bishop's Weed",https://pfaf.org/user/Plant.aspx?LatinName=Aegopodium+podagraria,Leaves,1,3,2,PFAF
Aesculus californica,"Californian Buckeye, California Horsechestnut",https://pfaf.org/user/Plant.aspx?LatinName=Aesculus+californica,Seed,1,3,1,PFAF
Aesculus chinensis,Chinese Horse Chestnut,https://pfaf.org/user/Plant.aspx?LatinName=Aesculus+chinensis,Seed,1,3,1,PFAF
Aesculus flava,"Sweet Buckeye, Yellow buckeye",https://pfaf.org/user/Plant.aspx?LatinName=Aesculus+flava,Nectar; Seed,2,4,0,PFAF
Aesculus glabra,"Ohio Buckeye, Fetid Buckeye",https://pfaf.org/user/Plant.aspx?LatinName=Aesculus+glabra,Seed,1,2,1,PFAF
Aesculus hippocastanum,"Horse Chestnut, European Horsechestnut, Common Horsechestnut",https://pfaf.org/user/Plant.aspx?LatinName=Aesculus+hippocastanum,Coffee; Seed,2,3,4,PFAF
Aesculus indica,Indian Horse Chestnut,https://pfaf.org/user/Plant.aspx?LatinName=Aesculus+indica,Seed,1,3,1,PFAF
Aesculus parviflora,Bottlebrush buckeye,https://pfaf.org/user/Plant.aspx?LatinName=Aesculus+parviflora,Seed,1,2,1,PFAF
Aesculus pavia,Red Buckeye,https://pfaf.org/user/Plant.aspx?LatinName=Aesculus+pavia,Seed,1,2,1,PFAF
Aesculus turbinata,Japanese Horse Chestnut,https://pfaf.org/user/Plant.aspx?LatinName=Aesculus+turbinata,Leaves; Seed,2,2,0,PFAF
Aesculus x carnea,"Red Horse Chestnut, Ruby Red Horsechestnut",https://pfaf.org/user/Plant.aspx?LatinName=Aesculus+x+carnea,Seed,1,2,1,PFAF
Aethusa cynapium,Fool's Parsley,https://pfaf.org/user/Plant.aspx?LatinName=Aethusa+cynapium,Leaves,1,1,1,PFAF
Afzelia africana,African Mahogany,https://pfaf.org/user/Plant.aspx?LatinName=Afzelia+africana,Oil,1,2,2,PFAF
Afzelia xylocarpa,"Makha Tree, Cambodia Beng Tree",https://pfaf.org/user/Plant.aspx?LatinName=Afzelia+xylocarpa,Oil,1,2,2,PFAF
Agapanthus praecox minimus,,https://pfaf.org/user/Plant.aspx?LatinName=Agapanthus+praecox+minimus,Root,1,1,1,PFAF
Agastache cana,"Hoary Balm Of Gilead, Mosquito plant",https://pfaf.org/user/Plant.aspx?LatinName=Agastache+cana,Condiment,1,2,0,PFAF
Agastache foeniculum,"Anise Hyssop, Blue giant hyssop",https://pfaf.org/user/Plant.aspx?LatinName=Agastache+foeniculum,Drink; Flowers; Leaves; Tea,4,5,1,PFAF
Agastache mexicana,Mexican Giant Hyssop,https://pfaf.org/user/Plant.aspx?LatinName=Agastache+mexicana,Leaves; Tea,2,3,0,PFAF
Agastache neomexicana,"New Mexico Giant Hyssop, Bill Williams Mountain giant hyssop",https://pfaf.org/user/Plant.aspx?LatinName=Agastache+neomexicana,Leaves; Tea,2,3,1,PFAF
Agastache rugosa,Korean Mint,https://pfaf.org/user/Plant.aspx?LatinName=Agastache+rugosa,Condiment; Leaves; Seed; Tea,4,4,3,PFAF
Agastache urticifolia,"Giant Hyssop, Nettleleaf giant hyssop",https://pfaf.org/user/Plant.aspx?LatinName=Agastache+urticifolia,Leaves; Seed; Tea,3,3,1,PFAF
