recommended_soil,temperature,humidity,soil_moisture
black soil,42,29.0,24
black soil,43,26.0,25
black soil,44,23.0,26
black soil,45,20.0,27
black soil,46,17.0,28
black soil,25,80.0,29
black soil,26,77.0,30
black soil,27,74.0,31
black soil,28,71.0,32
black soil,29,68.0,33
black soil,30,65.0,34
black soil,31,62.0,35
black soil,32,59.0,36
black soil,33,56.0,37
black soil,34,53.0,38
black soil,35,50.0,39
black soil,36,47.0,40
black soil,37,44.0,41
black soil,38,41.0,42
black soil,39,38.0,43
black soil,40,35.0,44
black soil,41,32.0,45
black soil,42,29.0,46
black soil,43,26.0,47
black soil,44,23.0,48
black soil,45,20.0,49
black soil,46,17.0,50
black soil,25,80.0,51
black soil,26,77.0,52
black soil,27,74.0,53
black soil,28,71.0,54
black soil,29,68.0,55
black soil,30,65.0,56
black soil,31,62.0,57
black soil,32,59.0,58
black soil,33,56.0,59
black soil,34,53.0,60
black soil,35,50.0,61
black soil,36,47.0,62
black soil,37,44.0,63
black soil,38,41.0,64
black soil,39,38.0,65
black soil,40,35.0,66
black soil,41,32.0,67
black soil,42,29.0,68
black soil,43,26.0,69
black soil,44,23.0,70
black soil,45,20.0,71
black soil,46,17.0,72
black soil,25,80.0,73
black soil,26,77.0,74
black soil,27,74.0,75
black soil,28,71.0,76
black soil,29,68.0,77
black soil,30,65.0,78
black soil,31,62.0,79
black soil,32,59.0,80
black soil,33,56.0,81
black soil,34,53.0,82
black soil,35,50.0,83
black soil,36,47.0,84
black soil,37,44.0,85
black soil,38,41.0,86
black soil,39,38.0,87
black soil,40,35.0,88
black soil,41,32.0,89
black soil,42,29.0,90
black soil,43,26.0,91
black soil,44,23.0,92
black soil,45,20.0,93
black soil,46,17.0,94
black soil,25,80.0,95
black soil,26,77.0,96
black soil,27,74.0,97
black soil,28,71.0,98
black soil,29,68.0,99
black soil,30,65.0,100
black soil,31,62.0,1
black soil,32,59.0,2
black soil,33,56.0,3
black soil,34,53.0,4
black soil,35,50.0,5
black soil,36,47.0,6
black soil,37,44.0,7
black soil,38,41.0,8
black soil,39,38.0,9
black soil,40,35.0,10
black soil,41,32.0,11
black soil,42,29.0,12
black soil,43,26.0,13
black soil,44,23.0,14
black soil,45,20.0,15
black soil,46,17.0,16
black soil,25,80.0,17
black soil,26,77.0,18
black soil,27,74.0,19
black soil,28,71.0,20
black soil,29,68.0,21
black soil,30,65.0,22
black soil,31,62.0,23
black soil,32,59.0,24
black soil,33,56.0,25
black soil,34,53.0,26
black soil,35,50.0,27
black soil,36,47.0,28
black soil,37,44.0,29
black soil,38,41.0,30
black soil,39,38.0,31
black soil,40,35.0,32
black soil,41,32.0,33
black soil,42,29.0,34
black soil,43,26.0,35
black soil,44,23.0,36
black soil,45,20.0,37
black soil,46,17.0,38
black soil,25,80.0,39
black soil,26,77.0,40
black soil,27,74.0,41
black soil,28,71.0,42
black soil,29,68.0,43
black soil,30,65.0,44
black soil,31,62.0,45
black soil,32,59.0,46
black soil,33,56.0,47
black soil,34,53.0,48
black soil,35,50.0,49
black soil,36,47.0,50
black soil,37,44.0,51
black soil,38,41.0,52
black soil,39,38.0,53
black soil,40,35.0,54
black soil,41,32.0,55
black soil,42,29.0,56
black soil,43,26.0,57
black soil,44,23.0,58
black soil,45,20.0,59
black soil,46,17.0,60
black soil,25,80.0,61
black soil,26,77.0,62
black soil,27,74.0,63
black soil,28,71.0,64
black soil,29,68.0,65
black soil,30,65.0,66
black soil,31,62.0,67
black soil,32,59.0,68
black soil,33,56.0,69
black soil,34,53.0,70
black soil,35,50.0,71
black soil,36,47.0,72
black soil,37,44.0,73
black soil,38,41.0,74
black soil,39,38.0,75
black soil,40,35.0,76
black soil,41,32.0,77
black soil,42,29.0,78
black soil,43,26.0,79
black soil,44,23.0,80
black soil,45,20.0,81
black soil,46,17.0,82
black soil,25,80.0,83
black soil,26,77.0,84
black soil,27,74.0,85
black soil,28,71.0,86
black soil,29,68.0,87
black soil,30,65.0,88
black soil,31,62.0,89
black soil,32,59.0,90
black soil,33,56.0,91
black soil,34,53.0,92
black soil,35,50.0,93
black soil,36,47.0,94
black soil,37,44.0,95
black soil,38,41.0,96
black soil,39,38.0,97
black soil,40,35.0,98
black soil,41,32.0,99
black soil,42,29.0,100
black soil,43,26.0,1
black soil,44,23.0,2
black soil,45,20.0,3
black soil,46,17.0,4
black soil,25,80.0,5
black soil,26,77.0,6
black soil,27,74.0,7
black soil,28,71.0,8
black soil,29,68.0,9
black soil,30,65.0,10
black soil,31,62.0,11
black soil,32,59.0,12
black soil,33,56.0,13
black soil,34,53.0,14
black soil,35,50.0,15
black soil,36,47.0,16
black soil,37,44.0,17
black soil,38,41.0,18
black soil,39,38.0,19
black soil,40,35.0,20
black soil,41,32.0,21
black soil,42,29.0,22
black soil,43,26.0,23
black soil,44,23.0,24
black soil,45,20.0,25
black soil,46,17.0,26
black soil,25,80.0,27
black soil,26,77.0,28
black soil,27,74.0,29
black soil,28,71.0,30
black soil,29,68.0,31
black soil,30,65.0,32
black soil,31,62.0,33
black soil,32,59.0,34
black soil,33,56.0,35
black soil,34,53.0,36
black soil,35,50.0,37
black soil,36,47.0,38
black soil,37,44.0,39
black soil,38,41.0,40
black soil,39,38.0,41
black soil,40,35.0,42
black soil,41,32.0,43
black soil,42,29.0,44
black soil,43,26.0,45
black soil,44,23.0,46
black soil,45,20.0,47
black soil,46,17.0,48
black soil,25,80.0,49
black soil,26,77.0,50
black soil,27,74.0,51
black soil,28,71.0,52
black soil,29,68.0,53
black soil,30,65.0,54
black soil,31,62.0,55
black soil,32,59.0,56
black soil,33,56.0,57
black soil,34,53.0,58
black soil,35,50.0,59
black soil,36,47.0,60
black soil,37,44.0,61
black soil,38,41.0,62
black soil,39,38.0,63
black soil,40,35.0,64
black soil,41,32.0,65
black soil,42,29.0,66
black soil,43,26.0,67
black soil,44,23.0,68
black soil,45,20.0,69
black soil,46,17.0,70
black soil,25,80.0,71
black soil,26,77.0,72
black soil,27,74.0,73
black soil,28,71.0,74
black soil,29,68.0,75
black soil,30,65.0,76
black soil,31,62.0,77
black soil,32,59.0,78
black soil,33,56.0,79
black soil,34,53.0,80
black soil,35,50.0,81
black soil,36,47.0,82
black soil,37,44.0,83
black soil,38,41.0,84
black soil,39,38.0,85
black soil,40,35.0,86
black soil,41,32.0,87
black soil,42,29.0,88
black soil,43,26.0,89
black soil,44,23.0,90
black soil,45,20.0,91
black soil,46,17.0,92
black soil,25,80.0,93
black soil,26,77.0,94
black soil,27,74.0,95
black soil,28,71.0,96
black soil,29,68.0,97
black soil,30,65.0,98
black soil,31,62.0,99
black soil,32,59.0,100
alluvial soil,33,56.0,1
alluvial soil,34,53.0,2
alluvial soil,35,50.0,3
alluvial soil,36,47.0,4
alluvial soil,37,44.0,5
alluvial soil,38,41.0,6
alluvial soil,39,38.0,7
alluvial soil,40,35.0,8
alluvial soil,41,32.0,9
alluvial soil,42,29.0,10
alluvial soil,43,26.0,11
alluvial soil,44,23.0,12
alluvial soil,45,20.0,13
alluvial soil,46,17.0,14
alluvial soil,25,80.0,15
alluvial soil,26,77.0,16
alluvial soil,27,74.0,17
alluvial soil,28,71.0,18
alluvial soil,29,68.0,19
alluvial soil,30,65.0,20
alluvial soil,31,62.0,21
alluvial soil,32,59.0,22
alluvial soil,33,56.0,23
alluvial soil,34,53.0,24
alluvial soil,35,50.0,25
alluvial soil,36,47.0,26
alluvial soil,37,44.0,27
alluvial soil,38,41.0,28
alluvial soil,39,38.0,29
alluvial soil,40,35.0,30
alluvial soil,41,32.0,31
alluvial soil,42,29.0,32
alluvial soil,43,26.0,33
alluvial soil,44,23.0,34
alluvial soil,45,20.0,35
alluvial soil,46,17.0,36
alluvial soil,25,80.0,37
alluvial soil,26,77.0,38
alluvial soil,27,74.0,39
alluvial soil,28,71.0,40
alluvial soil,29,68.0,41
alluvial soil,30,65.0,42
alluvial soil,31,62.0,43
alluvial soil,32,59.0,44
alluvial soil,33,56.0,45
alluvial soil,34,53.0,46
alluvial soil,35,50.0,47
alluvial soil,36,47.0,48
alluvial soil,37,44.0,49
alluvial soil,38,41.0,50
alluvial soil,39,38.0,51
alluvial soil,40,35.0,52
alluvial soil,41,32.0,53
alluvial soil,42,29.0,54
alluvial soil,43,26.0,55
alluvial soil,44,23.0,56
alluvial soil,45,20.0,57
alluvial soil,46,17.0,58
alluvial soil,25,80.0,59
alluvial soil,26,77.0,60
alluvial soil,27,74.0,61
alluvial soil,28,71.0,62
alluvial soil,29,68.0,63
alluvial soil,30,65.0,64
alluvial soil,31,62.0,65
alluvial soil,32,59.0,66
alluvial soil,33,56.0,67
alluvial soil,34,53.0,68
alluvial soil,35,50.0,69
alluvial soil,36,47.0,70
alluvial soil,37,44.0,71
alluvial soil,38,41.0,72
alluvial soil,39,38.0,73
alluvial soil,40,35.0,74
alluvial soil,41,32.0,75
alluvial soil,42,29.0,76
alluvial soil,43,26.0,77
alluvial soil,44,23.0,78
alluvial soil,45,20.0,79
alluvial soil,46,17.0,80
alluvial soil,25,80.0,81
alluvial soil,26,77.0,82
alluvial soil,27,74.0,83
alluvial soil,28,71.0,84
alluvial soil,29,68.0,85
alluvial soil,30,65.0,86
alluvial soil,31,62.0,87
alluvial soil,32,59.0,88
alluvial soil,33,56.0,89
alluvial soil,34,53.0,90
alluvial soil,35,50.0,91
alluvial soil,36,47.0,92
alluvial soil,37,44.0,93
alluvial soil,38,41.0,94
alluvial soil,39,38.0,95
alluvial soil,40,35.0,96
alluvial soil,41,32.0,97
alluvial soil,42,29.0,98
alluvial soil,43,26.0,99
alluvial soil,44,23.0,100
alluvial soil,45,20.0,1
alluvial soil,46,17.0,2
alluvial soil,25,80.0,3
alluvial soil,26,77.0,4
alluvial soil,27,74.0,5
alluvial soil,28,71.0,6
alluvial soil,29,68.0,7
alluvial soil,30,65.0,8
alluvial soil,31,62.0,9
alluvial soil,32,59.0,10
alluvial soil,33,56.0,11
alluvial soil,34,53.0,12
alluvial soil,35,50.0,13
alluvial soil,36,47.0,14
alluvial soil,37,44.0,15
alluvial soil,38,41.0,16
alluvial soil,39,38.0,17
alluvial soil,40,35.0,18
alluvial soil,41,32.0,19
alluvial soil,42,29.0,20
alluvial soil,43,26.0,21
alluvial soil,44,23.0,22
alluvial soil,45,20.0,23
alluvial soil,46,17.0,24
alluvial soil,25,80.0,25
alluvial soil,26,77.0,26
alluvial soil,27,74.0,27
alluvial soil,28,71.0,28
alluvial soil,29,68.0,29
alluvial soil,30,65.0,30
alluvial soil,31,62.0,31
alluvial soil,32,59.0,32
alluvial soil,33,56.0,33
alluvial soil,34,53.0,34
alluvial soil,35,50.0,35
alluvial soil,36,47.0,36
alluvial soil,37,44.0,37
alluvial soil,38,41.0,38
alluvial soil,39,38.0,39
alluvial soil,40,35.0,40
alluvial soil,41,32.0,41
alluvial soil,42,29.0,42
alluvial soil,43,26.0,43
alluvial soil,44,23.0,44
alluvial soil,45,20.0,45
alluvial soil,46,17.0,46
alluvial soil,25,80.0,47
alluvial soil,26,77.0,48
alluvial soil,27,74.0,49
alluvial soil,28,71.0,50
alluvial soil,29,68.0,51
alluvial soil,30,65.0,52
alluvial soil,31,62.0,53
alluvial soil,32,59.0,54
alluvial soil,33,56.0,55
alluvial soil,34,53.0,56
alluvial soil,35,50.0,57
alluvial soil,36,47.0,58
alluvial soil,37,44.0,59
alluvial soil,38,41.0,60
alluvial soil,39,38.0,61
alluvial soil,40,35.0,62
alluvial soil,41,32.0,63
alluvial soil,42,29.0,64
alluvial soil,43,26.0,65
alluvial soil,44,23.0,66
alluvial soil,45,20.0,67
alluvial soil,46,17.0,68
alluvial soil,25,80.0,69
alluvial soil,26,77.0,70
alluvial soil,27,74.0,71
alluvial soil,28,71.0,72
alluvial soil,29,68.0,73
alluvial soil,30,65.0,74
alluvial soil,31,62.0,75
alluvial soil,32,59.0,76
alluvial soil,33,56.0,77
alluvial soil,34,53.0,78
alluvial soil,35,50.0,79
alluvial soil,36,47.0,80
alluvial soil,37,44.0,81
alluvial soil,38,41.0,82
alluvial soil,39,38.0,83
alluvial soil,40,35.0,84
alluvial soil,41,32.0,85
alluvial soil,42,29.0,86
alluvial soil,43,26.0,87
alluvial soil,44,23.0,88
alluvial soil,45,20.0,89
alluvial soil,46,17.0,90
alluvial soil,25,80.0,91
alluvial soil,26,77.0,92
alluvial soil,27,74.0,93
alluvial soil,28,71.0,94
alluvial soil,29,68.0,95
alluvial soil,30,65.0,96
alluvial soil,31,62.0,97
alluvial soil,32,59.0,98
alluvial soil,33,56.0,99
alluvial soil,34,53.0,100
alluvial soil,35,50.0,1
alluvial soil,36,47.0,2
alluvial soil,37,44.0,3
alluvial soil,38,41.0,4
alluvial soil,39,38.0,5
alluvial soil,40,35.0,6
alluvial soil,41,32.0,7
alluvial soil,42,29.0,8
alluvial soil,43,26.0,9
alluvial soil,44,23.0,10
alluvial soil,45,20.0,11
alluvial soil,46,17.0,12
alluvial soil,25,80.0,13
alluvial soil,26,77.0,14
alluvial soil,27,74.0,15
alluvial soil,28,71.0,16
alluvial soil,29,68.0,17
alluvial soil,30,65.0,18
alluvial soil,31,62.0,19
alluvial soil,32,59.0,20
alluvial soil,33,56.0,21
alluvial soil,34,53.0,22
alluvial soil,35,50.0,23
alluvial soil,36,47.0,24
alluvial soil,37,44.0,25
alluvial soil,38,41.0,26
alluvial soil,39,38.0,27
alluvial soil,40,35.0,28
alluvial soil,41,32.0,29
alluvial soil,42,29.0,30
alluvial soil,43,26.0,31
alluvial soil,44,23.0,32
alluvial soil,45,20.0,33
alluvial soil,46,17.0,34
alluvial soil,25,80.0,35
alluvial soil,26,77.0,36
alluvial soil,27,74.0,37
alluvial soil,28,71.0,38
alluvial soil,29,68.0,39
alluvial soil,30,65.0,40
alluvial soil,31,62.0,41
alluvial soil,32,59.0,42
alluvial soil,33,56.0,43
alluvial soil,34,53.0,44
alluvial soil,35,50.0,45
alluvial soil,36,47.0,46
alluvial soil,37,44.0,47
alluvial soil,38,41.0,48
alluvial soil,39,38.0,49
alluvial soil,40,35.0,50
alluvial soil,41,32.0,51
alluvial soil,42,29.0,52
alluvial soil,43,26.0,53
alluvial soil,44,23.0,54
alluvial soil,45,20.0,55
alluvial soil,46,17.0,56
alluvial soil,25,80.0,57
alluvial soil,26,77.0,58
alluvial soil,27,74.0,59
alluvial soil,28,71.0,60
alluvial soil,29,68.0,61
alluvial soil,30,65.0,62
alluvial soil,31,62.0,63
alluvial soil,32,59.0,64
alluvial soil,33,56.0,65
alluvial soil,34,53.0,66
alluvial soil,35,50.0,67
alluvial soil,36,47.0,68
alluvial soil,37,44.0,69
alluvial soil,38,41.0,70
alluvial soil,39,38.0,71
alluvial soil,40,35.0,72
alluvial soil,41,32.0,73
alluvial soil,42,29.0,74
alluvial soil,43,26.0,75
alluvial soil,44,23.0,76
alluvial soil,45,20.0,77
alluvial soil,46,17.0,78
alluvial soil,25,80.0,79
alluvial soil,26,77.0,80
alluvial soil,27,74.0,81
alluvial soil,28,71.0,82
alluvial soil,29,68.0,83
alluvial soil,30,65.0,84
alluvial soil,31,62.0,85
alluvial soil,32,59.0,86
alluvial soil,33,56.0,87
alluvial soil,34,53.0,88
alluvial soil,35,50.0,89
alluvial soil,36,47.0,90
