dataset_source,dataset_origin,plant_name,temperature,humidity,soil_moisture,soil_ph,wind_speed,country,state,city,hemisphere,is_tropical_country,temperature_f,temperature_range,hot_day,cold_day,optimal_temperature,humidity_level,high_humidity,low_humidity,optimal_humidity,soil_status,dry_soil,wet_soil,optimal_soil,irrigation_score,irrigation_needed,irrigation_priority,watering_needed,water_stress,dryness_index,heat_index,evaporation_risk,good_growing_conditions
tomato irrigation dataset,external,tomato,30.2,77.5,308.0,3.95,2.09,Unknown,Unknown,Unknown,Unknown,0,86.36,5.199999999999999,1,0,0,High,0,0,0,Wet,0,1,0,-174.84,0,Low,0,0.0977346278317152,22.45,37.95,-41.699999999999996,0
tomato irrigation dataset,external,tomato,30.2,77.6,307.0,2.17,2.09,Unknown,Unknown,Unknown,Unknown,0,86.36,5.199999999999999,1,0,0,High,0,0,0,Wet,0,1,0,-173.88,0,Low,0,0.09805194805194804,22.439999999999998,37.96,-41.4,0
tomato irrigation dataset,external,tomato,30.2,77.6,307.0,3.28,2.09,Unknown,Unknown,Unknown,Unknown,0,86.36,5.199999999999999,1,0,0,High,0,0,0,Wet,0,1,0,-173.88,0,Low,0,0.09805194805194804,22.439999999999998,37.96,-41.4,0
tomato irrigation dataset,external,tomato,30.2,78.7,307.0,3.24,2.09,Unknown,Unknown,Unknown,Unknown,0,86.36,5.199999999999999,1,0,0,High,0,0,0,Wet,0,1,0,-174.32,0,Low,0,0.09805194805194804,22.33,38.07,-41.76666666666667,0
tomato irrigation dataset,external,tomato,30.2,78.5,307.0,2.51,2.09,Unknown,Unknown,Unknown,Unknown,0,86.36,5.199999999999999,1,0,0,High,0,0,0,Wet,0,1,0,-174.24,0,Low,0,0.09805194805194804,22.35,38.05,-41.699999999999996,0
tomato irrigation dataset,external,tomato,30.1,78.5,307.0,3.89,2.09,Unknown,Unknown,Unknown,Unknown,0,86.18,5.100000000000001,1,0,0,High,0,0,0,Wet,0,1,0,-174.32,0,Low,0,0.09772727272727273,22.25,37.95,-41.766666666666666,0
tomato irrigation dataset,external,tomato,30.1,78.9,307.0,3.15,2.09,Unknown,Unknown,Unknown,Unknown,0,86.18,5.100000000000001,1,0,0,High,0,0,0,Wet,0,1,0,-174.48,0,Low,0,0.09772727272727273,22.21,37.99,-41.9,0
tomato irrigation dataset,external,tomato,30.1,80.4,307.0,3.02,2.09,Unknown,Unknown,Unknown,Unknown,0,86.18,5.100000000000001,1,0,0,High,1,0,0,Wet,0,1,0,-175.08,0,Low,0,0.09772727272727273,22.060000000000002,38.14,-42.4,0
tomato irrigation dataset,external,tomato,30.1,78.9,307.0,3.22,2.09,Unknown,Unknown,Unknown,Unknown,0,86.18,5.100000000000001,1,0,0,High,0,0,0,Wet,0,1,0,-174.48,0,Low,0,0.09772727272727273,22.21,37.99,-41.9,0
tomato irrigation dataset,external,tomato,30.0,77.6,307.0,3.2,2.09,Unknown,Unknown,Unknown,Unknown,0,86.0,5.0,1,0,1,High,0,0,0,Wet,0,1,0,-174.04,0,Low,0,0.09740259740259741,22.240000000000002,37.76,-41.53333333333333,0
tomato irrigation dataset,external,tomato,30.0,79.7,307.0,3.18,2.09,Unknown,Unknown,Unknown,Unknown,0,86.0,5.0,1,0,1,High,0,0,0,Wet,0,1,0,-174.88,0,Low,0,0.09740259740259741,22.03,37.97,-42.233333333333334,0
tomato irrigation dataset,external,tomato,30.0,78.9,307.0,3.31,2.09,Unknown,Unknown,Unknown,Unknown,0,86.0,5.0,1,0,1,High,0,0,0,Wet,0,1,0,-174.56,0,Low,0,0.09740259740259741,22.11,37.89,-41.96666666666667,0
tomato irrigation dataset,external,tomato,29.9,77.3,307.0,3.4,2.09,Unknown,Unknown,Unknown,Unknown,0,85.82,4.899999999999999,0,0,1,High,0,0,0,Wet,0,1,0,-174.0,0,Low,0,0.09707792207792207,22.169999999999998,37.629999999999995,-41.5,0
tomato irrigation dataset,external,tomato,29.8,77.0,307.0,3.54,2.09,Unknown,Unknown,Unknown,Unknown,0,85.64,4.800000000000001,0,0,1,High,0,0,0,Wet,0,1,0,-173.96,0,Low,0,0.09675324675324676,22.1,37.5,-41.46666666666667,0
tomato irrigation dataset,external,tomato,29.7,77.9,307.0,3.33,2.09,Unknown,Unknown,Unknown,Unknown,0,85.46000000000001,4.699999999999999,0,0,1,High,0,0,0,Wet,0,1,0,-174.4,0,Low,0,0.09642857142857143,21.909999999999997,37.49,-41.833333333333336,0
tomato irrigation dataset,external,tomato,29.6,77.8,307.0,2.87,2.09,Unknown,Unknown,Unknown,Unknown,0,85.28,4.600000000000001,0,0,1,High,0,0,0,Wet,0,1,0,-174.44,0,Low,0,0.09610389610389611,21.82,37.38,-41.86666666666667,0
tomato irrigation dataset,external,tomato,29.6,79.1,306.0,3.6,2.09,Unknown,Unknown,Unknown,Unknown,0,85.28,4.600000000000001,0,0,1,High,0,0,0,Wet,0,1,0,-173.96,0,Low,0,0.0964169381107492,21.69,37.510000000000005,-41.96666666666666,0
tomato irrigation dataset,external,tomato,29.6,80.6,306.0,3.75,2.09,Unknown,Unknown,Unknown,Unknown,0,85.28,4.600000000000001,0,0,1,High,1,0,0,Wet,0,1,0,-174.56,0,Low,0,0.0964169381107492,21.540000000000003,37.660000000000004,-42.46666666666666,0
tomato irrigation dataset,external,tomato,29.5,78.7,306.0,1.75,2.09,Unknown,Unknown,Unknown,Unknown,0,85.1,4.5,0,0,1,High,0,0,0,Wet,0,1,0,-173.88,0,Low,0,0.09609120521172639,21.63,37.370000000000005,-41.9,0
tomato irrigation dataset,external,tomato,29.5,80.6,306.0,3.53,2.09,Unknown,Unknown,Unknown,Unknown,0,85.1,4.5,0,0,1,High,1,0,0,Wet,0,1,0,-174.64,0,Low,0,0.09609120521172639,21.44,37.56,-42.53333333333333,0
tomato irrigation dataset,external,tomato,29.5,79.7,307.0,3.66,2.09,Unknown,Unknown,Unknown,Unknown,0,85.1,4.5,0,0,1,High,0,0,0,Wet,0,1,0,-175.28,0,Low,0,0.09577922077922078,21.53,37.47,-42.56666666666667,0
tomato irrigation dataset,external,tomato,29.4,81.3,307.0,3.59,2.09,Unknown,Unknown,Unknown,Unknown,0,84.91999999999999,4.399999999999999,0,0,1,High,1,0,0,Wet,0,1,0,-176.0,0,Low,0,0.09545454545454544,21.27,37.53,-43.166666666666664,0
tomato irrigation dataset,external,tomato,29.4,79.2,306.0,3.61,2.09,Unknown,Unknown,Unknown,Unknown,0,84.91999999999999,4.399999999999999,0,0,1,High,0,0,0,Wet,0,1,0,-174.16,0,Low,0,0.09576547231270358,21.479999999999997,37.32,-42.13333333333333,0
tomato irrigation dataset,external,tomato,29.4,79.8,306.0,3.58,2.09,Unknown,Unknown,Unknown,Unknown,0,84.91999999999999,4.399999999999999,0,0,1,High,0,0,0,Wet,0,1,0,-174.4,0,Low,0,0.09576547231270358,21.419999999999998,37.379999999999995,-42.333333333333336,0
tomato irrigation dataset,external,tomato,29.4,80.7,306.0,3.53,2.09,Unknown,Unknown,Unknown,Unknown,0,84.91999999999999,4.399999999999999,0,0,1,High,1,0,0,Wet,0,1,0,-174.76,0,Low,0,0.09576547231270358,21.33,37.47,-42.63333333333333,0
tomato irrigation dataset,external,tomato,29.5,79.2,306.0,3.55,2.09,Unknown,Unknown,Unknown,Unknown,0,85.1,4.5,0,0,1,High,0,0,0,Wet,0,1,0,-174.08,0,Low,0,0.09609120521172639,21.58,37.42,-42.06666666666667,0
tomato irrigation dataset,external,tomato,29.5,79.1,307.0,3.51,2.09,Unknown,Unknown,Unknown,Unknown,0,85.1,4.5,0,0,1,High,0,0,0,Wet,0,1,0,-175.04,0,Low,0,0.09577922077922078,21.59,37.41,-42.36666666666667,0
tomato irrigation dataset,external,tomato,29.6,79.9,307.0,3.5,2.09,Unknown,Unknown,Unknown,Unknown,0,85.28,4.600000000000001,0,0,1,High,0,0,0,Wet,0,1,0,-175.28,0,Low,0,0.09610389610389611,21.61,37.59,-42.56666666666667,0
tomato irrigation dataset,external,tomato,29.6,81.9,306.0,3.51,2.09,Unknown,Unknown,Unknown,Unknown,0,85.28,4.600000000000001,0,0,1,High,1,0,0,Wet,0,1,0,-175.08,0,Low,0,0.0964169381107492,21.41,37.790000000000006,-42.9,0
tomato irrigation dataset,external,tomato,29.7,79.1,306.0,3.56,2.09,Unknown,Unknown,Unknown,Unknown,0,85.46000000000001,4.699999999999999,0,0,1,High,0,0,0,Wet,0,1,0,-173.88,0,Low,0,0.09674267100977199,21.79,37.61,-41.9,0
tomato irrigation dataset,external,tomato,30.3,75.6,306.0,3.53,2.54,Unknown,Unknown,Unknown,Unknown,0,86.53999999999999,5.300000000000001,1,0,0,High,0,0,0,Wet,0,1,0,-172.0,0,Low,0,0.0986970684039088,22.740000000000002,37.86,-40.333333333333336,0
tomato irrigation dataset,external,tomato,30.2,76.7,306.0,3.55,2.54,Unknown,Unknown,Unknown,Unknown,0,86.36,5.199999999999999,1,0,0,High,0,0,0,Wet,0,1,0,-172.52,0,Low,0,0.09837133550488598,22.53,37.87,-40.76666666666667,0
tomato irrigation dataset,external,tomato,30.2,76.2,306.0,3.53,2.54,Unknown,Unknown,Unknown,Unknown,0,86.36,5.199999999999999,1,0,0,High,0,0,0,Wet,0,1,0,-172.32,0,Low,0,0.09837133550488598,22.58,37.82,-40.6,0
tomato irrigation dataset,external,tomato,30.2,74.7,306.0,3.53,2.54,Unknown,Unknown,Unknown,Unknown,0,86.36,5.199999999999999,1,0,0,High,0,0,0,Wet,0,1,0,-171.72,0,Low,0,0.09837133550488598,22.729999999999997,37.67,-40.1,0
tomato irrigation dataset,external,tomato,30.2,75.8,306.0,3.49,2.54,Unknown,Unknown,Unknown,Unknown,0,86.36,5.199999999999999,1,0,0,High,0,0,0,Wet,0,1,0,-172.16,0,Low,0,0.09837133550488598,22.619999999999997,37.78,-40.46666666666667,0
tomato irrigation dataset,external,tomato,30.2,75.7,306.0,3.52,2.54,Unknown,Unknown,Unknown,Unknown,0,86.36,5.199999999999999,1,0,0,High,0,0,0,Wet,0,1,0,-172.12,0,Low,0,0.09837133550488598,22.63,37.769999999999996,-40.43333333333334,0
tomato irrigation dataset,external,tomato,31.2,95.0,587.0,3.49,1.08,Unknown,Unknown,Unknown,Unknown,0,88.16,6.199999999999999,1,0,0,High,1,0,0,Wet,0,1,0,-460.04,0,Low,0,0.053061224489795916,21.7,40.7,-139.86666666666667,0
tomato irrigation dataset,external,tomato,31.2,95.0,587.0,3.49,1.08,Unknown,Unknown,Unknown,Unknown,0,88.16,6.199999999999999,1,0,0,High,1,0,0,Wet,0,1,0,-460.04,0,Low,0,0.053061224489795916,21.7,40.7,-139.86666666666667,0
tomato irrigation dataset,external,tomato,25.9,94.4,309.0,3.47,1.08,Unknown,Unknown,Unknown,Unknown,0,78.62,0.8999999999999986,0,0,1,High,1,0,0,Wet,0,1,0,-186.04,0,Low,0,0.08354838709677419,16.459999999999997,35.34,-50.53333333333334,0
tomato irrigation dataset,external,tomato,26.0,92.6,284.0,3.52,1.08,Unknown,Unknown,Unknown,Unknown,0,78.8,1.0,0,0,1,High,1,0,0,Wet,0,1,0,-160.24,0,Low,0,0.0912280701754386,16.740000000000002,35.26,-41.53333333333333,0
tomato irrigation dataset,external,tomato,26.0,95.0,310.0,3.47,1.08,Unknown,Unknown,Unknown,Unknown,0,78.8,1.0,0,0,1,High,1,0,0,Wet,0,1,0,-187.2,0,Low,0,0.08360128617363344,16.5,35.5,-51.0,0
tomato irrigation dataset,external,tomato,25.9,95.0,297.0,3.44,1.08,Unknown,Unknown,Unknown,Unknown,0,78.62,0.8999999999999986,0,0,1,High,1,0,0,Wet,0,1,0,-174.28,0,Low,0,0.08691275167785234,16.4,35.4,-46.73333333333333,0
tomato irrigation dataset,external,tomato,25.9,98.2,281.0,4.81,1.08,Unknown,Unknown,Unknown,Unknown,0,78.62,0.8999999999999986,0,0,1,High,1,0,0,Wet,0,1,0,-159.56,0,Low,0,0.09184397163120567,16.08,35.72,-42.46666666666667,0
tomato irrigation dataset,external,tomato,25.9,92.7,265.0,3.63,1.08,Unknown,Unknown,Unknown,Unknown,0,78.62,0.8999999999999986,0,0,1,High,1,0,0,Wet,0,1,0,-141.36,0,Low,0,0.09736842105263158,16.63,35.17,-35.300000000000004,0
tomato irrigation dataset,external,tomato,28.9,80.4,228.0,3.59,1.85,Unknown,Unknown,Unknown,Unknown,0,84.02,3.8999999999999986,0,0,1,High,1,0,0,Wet,0,1,0,-97.04,0,Low,0,0.1262008733624454,20.86,36.94,-16.86666666666667,0
tomato irrigation dataset,external,tomato,28.8,80.9,225.0,3.6,1.85,Unknown,Unknown,Unknown,Unknown,0,83.84,3.8000000000000007,0,0,1,High,1,0,0,Wet,0,1,0,-94.32,0,Low,0,0.12743362831858407,20.71,36.89,-16.100000000000005,0
tomato irrigation dataset,external,tomato,28.8,79.9,314.0,3.57,1.85,Unknown,Unknown,Unknown,Unknown,0,83.84,3.8000000000000007,0,0,1,High,0,0,0,Wet,0,1,0,-182.92,0,Low,0,0.09142857142857143,20.810000000000002,36.79,-45.43333333333334,0
tomato irrigation dataset,external,tomato,30.2,96.3,532.0,3.62,1.85,Unknown,Unknown,Unknown,Unknown,0,86.36,5.199999999999999,1,0,0,High,1,0,0,Wet,0,1,0,-406.36,0,Low,0,0.05666041275797373,20.57,39.83,-122.63333333333333,0
tomato irrigation dataset,external,tomato,25.8,95.7,209.0,3.59,1.21,Unknown,Unknown,Unknown,Unknown,0,78.44,0.8000000000000007,0,0,1,High,1,0,0,Wet,0,1,0,-86.64,0,Low,0,0.12285714285714286,16.23,35.370000000000005,-17.7,0
tomato irrigation dataset,external,tomato,25.7,95.0,212.0,3.59,1.21,Unknown,Unknown,Unknown,Unknown,0,78.25999999999999,0.6999999999999993,0,0,1,High,1,0,0,Wet,0,1,0,-89.44,0,Low,0,0.12065727699530517,16.2,35.2,-18.533333333333335,0
tomato irrigation dataset,external,tomato,25.8,93.7,214.0,3.58,1.21,Unknown,Unknown,Unknown,Unknown,0,78.44,0.8000000000000007,0,0,1,High,1,0,0,Wet,0,1,0,-90.84,0,Low,0,0.12000000000000001,16.43,35.17,-18.7,0
tomato irrigation dataset,external,tomato,25.8,95.0,204.0,3.66,1.21,Unknown,Unknown,Unknown,Unknown,0,78.44,0.8000000000000007,0,0,1,High,1,0,0,Wet,0,1,0,-81.36,0,Low,0,0.12585365853658537,16.3,35.3,-15.799999999999999,0
tomato irrigation dataset,external,tomato,25.8,93.7,204.0,3.6,1.21,Unknown,Unknown,Unknown,Unknown,0,78.44,0.8000000000000007,0,0,1,High,1,0,0,Wet,0,1,0,-80.84,0,Low,0,0.12585365853658537,16.43,35.17,-15.366666666666667,0
tomato irrigation dataset,external,tomato,25.8,97.7,204.0,3.6,1.21,Unknown,Unknown,Unknown,Unknown,0,78.44,0.8000000000000007,0,0,1,High,1,0,0,Wet,0,1,0,-82.44,0,Low,0,0.12585365853658537,16.03,35.57,-16.7,0
tomato irrigation dataset,external,tomato,25.9,97.7,587.0,3.67,1.21,Unknown,Unknown,Unknown,Unknown,0,78.62,0.8999999999999986,0,0,1,High,1,0,0,Wet,0,1,0,-465.36,0,Low,0,0.044047619047619044,16.13,35.67,-144.29999999999998,0
tomato irrigation dataset,external,tomato,27.4,88.5,587.0,3.6,0.65,Unknown,Unknown,Unknown,Unknown,0,81.32,2.3999999999999986,0,0,1,High,1,0,0,Wet,0,1,0,-460.48,0,Low,0,0.04659863945578231,18.549999999999997,36.25,-140.23333333333332,0
tomato irrigation dataset,external,tomato,27.5,88.4,215.0,3.57,0.65,Unknown,Unknown,Unknown,Unknown,0,81.5,2.5,0,0,1,High,1,0,0,Wet,0,1,0,-88.36,0,Low,0,0.12731481481481483,18.66,36.34,-16.133333333333336,0
tomato irrigation dataset,external,tomato,27.5,87.5,215.0,3.57,0.65,Unknown,Unknown,Unknown,Unknown,0,81.5,2.5,0,0,1,High,1,0,0,Wet,0,1,0,-88.0,0,Low,0,0.12731481481481483,18.75,36.25,-15.833333333333334,0
tomato irrigation dataset,external,tomato,27.5,84.6,214.0,3.58,0.65,Unknown,Unknown,Unknown,Unknown,0,81.5,2.5,0,0,1,High,1,0,0,Wet,0,1,0,-85.84,0,Low,0,0.12790697674418605,19.04,35.96,-14.533333333333331,0
tomato irrigation dataset,external,tomato,27.5,86.8,215.0,3.61,0.65,Unknown,Unknown,Unknown,Unknown,0,81.5,2.5,0,0,1,High,1,0,0,Wet,0,1,0,-87.72,0,Low,0,0.12731481481481483,18.82,36.18,-15.6,0
tomato irrigation dataset,external,tomato,27.4,83.9,213.0,3.56,0.65,Unknown,Unknown,Unknown,Unknown,0,81.32,2.3999999999999986,0,0,1,High,1,0,0,Wet,0,1,0,-84.64,0,Low,0,0.12803738317757007,19.009999999999998,35.79,-14.033333333333337,0
tomato irrigation dataset,external,tomato,27.4,80.8,215.0,3.57,0.65,Unknown,Unknown,Unknown,Unknown,0,81.32,2.3999999999999986,0,0,1,High,1,0,0,Wet,0,1,0,-85.4,0,Low,0,0.12685185185185185,19.32,35.48,-13.666666666666666,0
tomato irrigation dataset,external,tomato,27.5,83.6,214.0,3.56,0.65,Unknown,Unknown,Unknown,Unknown,0,81.5,2.5,0,0,1,High,1,0,0,Wet,0,1,0,-85.44,0,Low,0,0.12790697674418605,19.14,35.86,-14.199999999999998,0
tomato irrigation dataset,external,tomato,27.5,81.5,213.0,3.54,0.65,Unknown,Unknown,Unknown,Unknown,0,81.5,2.5,0,0,1,High,1,0,0,Wet,0,1,0,-83.6,0,Low,0,0.12850467289719625,19.35,35.65,-13.166666666666666,0
tomato irrigation dataset,external,tomato,27.5,86.3,213.0,3.57,0.65,Unknown,Unknown,Unknown,Unknown,0,81.5,2.5,0,0,1,High,1,0,0,Wet,0,1,0,-85.52,0,Low,0,0.12850467289719625,18.87,36.13,-14.766666666666666,0
tomato irrigation dataset,external,tomato,27.4,82.3,215.0,3.55,0.65,Unknown,Unknown,Unknown,Unknown,0,81.32,2.3999999999999986,0,0,1,High,1,0,0,Wet,0,1,0,-86.0,0,Low,0,0.12685185185185185,19.169999999999998,35.629999999999995,-14.166666666666666,0
tomato irrigation dataset,external,tomato,27.5,86.3,213.0,3.55,0.65,Unknown,Unknown,Unknown,Unknown,0,81.5,2.5,0,0,1,High,1,0,0,Wet,0,1,0,-85.52,0,Low,0,0.12850467289719625,18.87,36.13,-14.766666666666666,0
tomato irrigation dataset,external,tomato,28.8,78.3,268.0,3.53,1.93,Unknown,Unknown,Unknown,Unknown,0,83.84,3.8000000000000007,0,0,1,High,0,0,0,Wet,0,1,0,-136.28,0,Low,0,0.10706319702602231,20.97,36.63,-29.566666666666663,0
tomato irrigation dataset,external,tomato,28.8,78.2,265.0,3.56,1.93,Unknown,Unknown,Unknown,Unknown,0,83.84,3.8000000000000007,0,0,1,High,0,0,0,Wet,0,1,0,-133.24,0,Low,0,0.10827067669172932,20.98,36.620000000000005,-28.53333333333333,0
tomato irrigation dataset,external,tomato,28.8,78.9,265.0,3.54,1.93,Unknown,Unknown,Unknown,Unknown,0,83.84,3.8000000000000007,0,0,1,High,0,0,0,Wet,0,1,0,-133.52,0,Low,0,0.10827067669172932,20.91,36.69,-28.76666666666667,0
tomato irrigation dataset,external,tomato,28.8,77.9,267.0,3.53,1.93,Unknown,Unknown,Unknown,Unknown,0,83.84,3.8000000000000007,0,0,1,High,0,0,0,Wet,0,1,0,-135.12,0,Low,0,0.10746268656716418,21.009999999999998,36.59,-29.100000000000005,0
tomato irrigation dataset,external,tomato,28.8,78.1,268.0,3.58,1.93,Unknown,Unknown,Unknown,Unknown,0,83.84,3.8000000000000007,0,0,1,High,0,0,0,Wet,0,1,0,-136.2,0,Low,0,0.10706319702602231,20.990000000000002,36.61,-29.5,0
tomato irrigation dataset,external,tomato,28.8,79.0,265.0,3.53,1.93,Unknown,Unknown,Unknown,Unknown,0,83.84,3.8000000000000007,0,0,1,High,0,0,0,Wet,0,1,0,-133.56,0,Low,0,0.10827067669172932,20.9,36.7,-28.8,0
tomato irrigation dataset,external,tomato,28.8,78.9,265.0,3.57,1.93,Unknown,Unknown,Unknown,Unknown,0,83.84,3.8000000000000007,0,0,1,High,0,0,0,Wet,0,1,0,-133.52,0,Low,0,0.10827067669172932,20.91,36.69,-28.76666666666667,0
tomato irrigation dataset,external,tomato,28.8,77.0,266.0,3.54,1.93,Unknown,Unknown,Unknown,Unknown,0,83.84,3.8000000000000007,0,0,1,High,0,0,0,Wet,0,1,0,-133.76,0,Low,0,0.10786516853932585,21.1,36.5,-28.46666666666667,0
tomato irrigation dataset,external,tomato,28.7,78.5,268.0,3.51,1.93,Unknown,Unknown,Unknown,Unknown,0,83.66,3.6999999999999993,0,0,1,High,0,0,0,Wet,0,1,0,-136.44,0,Low,0,0.10669144981412639,20.85,36.55,-29.7,0
tomato irrigation dataset,external,tomato,28.7,77.6,265.0,3.57,1.93,Unknown,Unknown,Unknown,Unknown,0,83.66,3.6999999999999993,0,0,1,High,0,0,0,Wet,0,1,0,-133.08,0,Low,0,0.10789473684210527,20.939999999999998,36.46,-28.399999999999995,0
tomato irrigation dataset,external,tomato,28.7,78.5,265.0,3.54,1.93,Unknown,Unknown,Unknown,Unknown,0,83.66,3.6999999999999993,0,0,1,High,0,0,0,Wet,0,1,0,-133.44,0,Low,0,0.10789473684210527,20.85,36.55,-28.7,0
tomato irrigation dataset,external,tomato,28.8,81.2,268.0,3.59,1.93,Unknown,Unknown,Unknown,Unknown,0,83.84,3.8000000000000007,0,0,1,High,1,0,0,Wet,0,1,0,-137.44,0,Low,0,0.10706319702602231,20.68,36.92,-30.53333333333333,0
tomato irrigation dataset,external,tomato,28.7,80.5,265.0,3.55,1.93,Unknown,Unknown,Unknown,Unknown,0,83.66,3.6999999999999993,0,0,1,High,1,0,0,Wet,0,1,0,-134.24,0,Low,0,0.10789473684210527,20.65,36.75,-29.366666666666664,0
tomato irrigation dataset,external,tomato,28.7,80.0,265.0,3.6,1.93,Unknown,Unknown,Unknown,Unknown,0,83.66,3.6999999999999993,0,0,1,High,0,0,0,Wet,0,1,0,-134.04,0,Low,0,0.10789473684210527,20.7,36.7,-29.2,0
tomato irrigation dataset,external,tomato,28.7,78.6,266.0,3.55,1.93,Unknown,Unknown,Unknown,Unknown,0,83.66,3.6999999999999993,0,0,1,High,0,0,0,Wet,0,1,0,-134.48,0,Low,0,0.10749063670411985,20.84,36.56,-29.066666666666663,0
tomato irrigation dataset,external,tomato,28.7,78.3,265.0,3.53,1.93,Unknown,Unknown,Unknown,Unknown,0,83.66,3.6999999999999993,0,0,1,High,0,0,0,Wet,0,1,0,-133.36,0,Low,0,0.10789473684210527,20.869999999999997,36.53,-28.633333333333336,0
tomato irrigation dataset,external,tomato,28.7,79.8,265.0,3.61,1.93,Unknown,Unknown,Unknown,Unknown,0,83.66,3.6999999999999993,0,0,1,High,0,0,0,Wet,0,1,0,-133.96,0,Low,0,0.10789473684210527,20.72,36.68,-29.133333333333336,0
tomato irrigation dataset,external,tomato,28.7,78.3,265.0,3.59,1.93,Unknown,Unknown,Unknown,Unknown,0,83.66,3.6999999999999993,0,0,1,High,0,0,0,Wet,0,1,0,-133.36,0,Low,0,0.10789473684210527,20.869999999999997,36.53,-28.633333333333336,0
tomato irrigation dataset,external,tomato,28.7,79.0,268.0,3.59,1.93,Unknown,Unknown,Unknown,Unknown,0,83.66,3.6999999999999993,0,0,1,High,0,0,0,Wet,0,1,0,-136.64,0,Low,0,0.10669144981412639,20.799999999999997,36.6,-29.866666666666664,0
tomato irrigation dataset,external,tomato,28.6,78.3,266.0,3.58,1.93,Unknown,Unknown,Unknown,Unknown,0,83.48,3.6000000000000014,0,0,1,High,0,0,0,Wet,0,1,0,-134.44,0,Low,0,0.10711610486891386,20.770000000000003,36.43,-29.03333333333333,0
tomato irrigation dataset,external,tomato,28.7,78.5,265.0,3.63,1.93,Unknown,Unknown,Unknown,Unknown,0,83.66,3.6999999999999993,0,0,1,High,0,0,0,Wet,0,1,0,-133.44,0,Low,0,0.10789473684210527,20.85,36.55,-28.7,0
tomato irrigation dataset,external,tomato,28.7,78.0,265.0,3.61,1.93,Unknown,Unknown,Unknown,Unknown,0,83.66,3.6999999999999993,0,0,1,High,0,0,0,Wet,0,1,0,-133.24,0,Low,0,0.10789473684210527,20.9,36.5,-28.53333333333333,0
tomato irrigation dataset,external,tomato,28.7,77.1,268.0,3.59,1.93,Unknown,Unknown,Unknown,Unknown,0,83.66,3.6999999999999993,0,0,1,High,0,0,0,Wet,0,1,0,-135.88,0,Low,0,0.10669144981412639,20.990000000000002,36.41,-29.23333333333333,0
